東京エムジー時計,2024-04-10,,2,1,ー,時計,SS,ROLEX,,114270,,Z番 　ローター異音  ,,,,落札,"      545,000",,,,,,,,,,,,,,
東京エムジー時計,2024-04-10,,2,2,ー,時計,SS,ROLEX,,16570,,T番   ,,,,落札,"      680,000",,,,,,,,,,,,,,
東京エムジー時計,2024-04-10,,2,3,ー,時計,SS,ROLEX,,16570,,Y番 保 1コマ  ,,,,落札,"      884,000",,,,,,,,,,,,,,
東京エムジー時計,2024-04-10,,2,4,ー,時計,SS,ROLEX,,114300,,保 2016/7/1,,,,落札,"      950,000",,,,,,,,,,,,,,
東京エムジー時計,2024-04-10,,2,5,ー,時計,SS,ROLEX,,14060,,,,,,落札,"      750,000",,,,,,,,,,,,,,
東京エムジー時計,2024-04-10,,2,6,ー,時計,SS,ROLEX,,14060,,F番   ,,,,落札,"      940,000",,,,,,,,,,,,,,
東京エムジー時計,2024-04-10,,2,7,ー,時計,SS,ROLEX,,16800,,82番 　 ルミナスルミノバベゼル固着  ,,,,落札,"      920,000",,,,,,,,,,,,,,
東京エムジー時計,2024-04-10,,2,8,ー,時計,SS,ROLEX,,16700,,U番   ,,,,落札,"      1,200,000",,,,,,,,,,,,,,
東京エムジー時計,2024-04-10,,2,9,ー,時計,SY,ROLEX,,1803,,8番 　社外SSブレス  ,,,,落札,"      900,000",,,,,,,,,,,,,,
東京エムジー時計,2024-04-10,,2,10,ー,時計,YG,ROLEX,,18038,,98番 1コマ  ,,,,落札,"      1,530,000",,,,,,,,,,,,,,
東京エムジー時計,2024-04-10,,3,1,ー,時計,SW,ROLEX,,79174,,K番 箱 保 1コマ デイトジャスト  ,,,,落札,"      460,000",,,,,,,,,,,,,,
東京エムジー時計,2024-04-10,,3,2,ー,時計,SY,ROLEX,,69173,,W番 箱 保 3コマ デイトジャスト カレ遅カレ引っ掛かり  ,,,,落札,"      554,000",,,,,,,,,,,,,,
東京エムジー時計,2024-04-10,,3,3,ー,時計,SS,ROLEX,,14000,,W番 箱 保 1コマ エアキング  ,,,,落札,"      516,000",,,,,,,,,,,,,,
